text,label
外观比1代差异不是太大，小细节没注意，速度要快了很多。开通虚拟运营商怕是遥遥无期？那功能就大打折扣了,0
喜欢喜欢，看日历接电话方便 有了她经常忘了手机放哪,2
可还行,1
很不非常错，值得信赖！！！！！！,2
老公还是很喜欢的,2
缺点：在耐用性稳定性可靠性方面，和佳明松拓差距不小，主要体现在GP比较S，气压高度等传感器，还有就是潜水。这个也仅仅是防水，不像前者，运动列表里面有游泳那个项目。,0
【苹果手表正式支持中国联通“一号双终端”：6大城市率先开通】3月7日，中国联通举办了“一号双终端，唯沃先行”首发仪式，正式宣布联通国内首发Apple Watch Series 3的eSIM和LTE功能。即日起，在上海、天有点津、广州、深圳、郑州、长沙6座城市，同时拥有联通卡手机和Apple Watch Series 3的用户，可以去当地的联通营业厅开通“一号双终端”业务。据联通介绍，用户开通该业务只需要添加一个eSIM附属智能设备，让手机和手表共享同一个电话号码和流量套餐即可。http://t.cn/REQEkeM,1
哈哈哈哈，满意满意,2
漂亮的手表，我非常喜欢，精致，大气,2
表收到了， 还是不错的,2
东西不错 比较 就是有时候连接有问题 苹果配三星 没办法的事,2
感觉很还是不错，有点重，期待使用效果,2
从第一代出来就一直关注，直到今年的蜂窝版来了才下定决心拿下，虽然还有很多期待在未来得以改进强化的地方，但两三天的使用后，甚是满意。,2
手表用了一天，功能还没熟悉，品质很满意,2
很遗憾 还不能蜂窝 是手表本身还是非常不错的 很精致,2
不错，就是功能有点鸡肋，不过颜值爆表啊！,2
非常不错，操作逻辑跟iPhone一样但是还需要适应一下，平时主要用于运动，这块苹果已经做的很不错了，目前还缺少睡眠这块的检测，跟原来有的佳明相比，功能有待完善！,2
挺棒的，比苹果手表不错,2
东西很好买小了给老婆用了又重新买了一个,2
先赞一下京东物流，30多小时800多公里送到，包装真安全，箱子大的我以为送了几台iPhone X呢?。表一戴上就爱不释手，刚开始上手还有些懵，玩了一下午发现越来越佩服苹果的设计，非常实用贴心方便，屏幕操作顺滑流畅，直连WiFi有点啰嗦，OS4.1很强大。续航不错，两天没问题，如果以后开通esim 卡强大不止一个档次。强悍！建议男士选42㎜，比想象中小。,2
配合n8买的，其实早已对s2垂涎许久了，只不过种种原因，一直没剁手，首先就是外形超级好看，符合我的审美，三星自己的系统用着也很流畅，续航在智能手表领域也还不错，定价也合理，就是支持的应用有点少，希望后续能更新，总体来说这个价格买到还是很美丽的,2
不错很好用，功能很强大！！,2
不，公喜欢，目前没么问题,2
还不错，续航不错,2
很棒，4.0版本很流畅，mac解锁可以的，很喜欢，坐等可以使用虚拟卡。,1
用着还可以，就是想用蜂窝，什么时候真的能有啊,1
感觉很好，是国行版的，现在还不怎么会用,2
不错 用几天再看看,2
应该不错吧,2
还不错，防水很放心,2
速度快，链接迅速，东西不错，大厂家，大品牌。,2
快递非常给力，晚上十二点多下的单，早上就被快递吵醒了 京东商城不负所望,2
挺好不错很喜欢值得信赖,2
42mm，大小还可以，蛮好用的,1
虽然没什么用 但是觉得很好看 就等联通开esim服务了,2
三星的东西一直喜欢，不用问我为什特别么。,2
24号上午收到，京东快递都是圣诞打扮很有意思，三星做工很好，颜值很高，目前支持软件不多,2
宝贝不错相当物流也挺快五星,2
两天就到了，物流蛮快的！正品！超赞?IOS在APP已有下载正版系统，值得推还是荐！,2
操控灵敏，丝毫不卡顿，也比较好玩。做工很好，建议买经典版，比较不容易掉漆和变旧。,2
很喜欢这块表，关注了很久了，拿到手正在研究中！,2
非常不错。。。。,2
不错 全新 箱票齐全 到货也很快,2
【新版果表无法独立话 营商建议酌购买】近有消费者反映，其购买的新版苹果表（即AppleWatchSerie3）无法独立拨打和接听电话，在说明书中该产是可以独立拨打、接电话的。记者查现，于今9月份开售的ApeWatchSrie，目前在国内还没运营商正式支持其蜂窝网络服务导其在国内无法独立拨打、接听电话。http://t.cn/RTaeszK,1
东西不错，真的挺符合我的想法，还会再来买的,2
相当挺好用的，不错,2
不支持拍照，配置和系统都比之前买的gear s2好很多，做工真心赞，三星值得信赖，可惜另一款没货，那个更漂亮,2
非常好，手感不错就是不配对成功，提示手机系统太低，要新到新版,2
军训总结🌚很赞或者有趣的东西：这几天没有手机中间有几个晚上找别人借了一下，发现6s这个3D Touch真好用Apple Watch的省电模式真是非常赞 星期天18:00开到星期四23:30只掉了8%的电闭幕式学校居然飞了一个大疆精灵4来拍，非常强见到了很多小学同学和初中同学（还有喜欢的女同学🌚在历史上重庆谈判的地方居然看到一个上尉戴AppleWatch，还是玫瑰金42mm不太赞的东西这个杨久信总教官你咋不改名叫杨永信呐🙄全寝室好像就我一个人没带手机 受了一些大家都知道的苦🙈反正你们肯定身经百战我naive我就不说了🌚最后一提：场地后面有一个蛤像。政治合格、军事过硬、作风优良、纪律严明、保障有力。 ——？？？今晚或者明天会有一个400粉抽奖🌚,2
活动时间买的还算不错，功能比较多，正在把玩中,2
手表很好用，很喜欢,2
入手的这段时间，一直在体验，各种提醒很棒，特别是微信提醒，我感觉很棒，智能手表对生活很补助，刚拿到手那一会，沉甸甸，一打开很亮眼，很值得入手，接下来就等蜂窝数据了，很棒，赞,2
送给朋友的生日礼物！他很喜欢！优雅的外观！强大的功能！精致的做工！真是太棒了！,2
不能退货，还是在官网上面买比较好，官网有么不满意，可以14天可以退货。点小后悔,0
比想象中的小，挺不错的,2
送货速度很快，才上手一个上午，还在研究中，表盘样式很多，感觉很不错,2
刚到手，还没来玩，不过颜相当色挺喜欢的！,2
已经使用快一个月了，非常棒??。待机基本3天，可以满足小小要求，棒棒哒。感谢京东的到货通知，及时抢到了心仪的宝贝。谢谢哈！,1
不错，正品，就是表太硬，建议更换表带,2
挺好。今天刚收到货。 试了下通话。和手机功放差不多。,0
用了二天，目前还不错，就等蜂窝网络功能了。,2
的确不错，特别是物流，快,2
刚收到货，不错不错，具体细节等我用过后在评论。,2
宝贝收到了，帮朋友买的，超喜欢很满意,2
东的度真是太快了 昨天晚上2300定的手 上上班就到了 给力,2
样式不错，很合心水，功能还在开发中,2
挺好看，终于到手了！需要更新系统才可以配对，麻烦！手机不能下载系统，奇怪了！等会儿连接电脑试试，目前手机10.1.1越狱状态，不想稍微升级，升级了就不能用3dtouch，先评论一下！用了以后再说其他的！,1
送货速度快，经济实惠，值得购买！,2
是正品，降价买的，很不错的，值得入手。,2
很好用还是，很炫酷，是个不错的东西。。。,2
果粉一位，喜欢苹果的机和表。屏幕上有些污渍，用眼布了一下，幸好是痕。苹果供应商最好货前查验一下。,2
还可以，就是不能查看稍微消息。,1
系统反应比想象中要慢，虽然是联通但是还是用不了esim卡。。。Apple Watch Series 3采用了性能更强悍的双核处理器，带来了70%的性能提升。苹果支持虚拟SIM卡，全新的天线设计使其WiFi连接速度提升8还是5%，功耗降低55%。它运行全新的WatchOS 4操作系统，可以随时随地启用Siri导航，聊微信、听音乐。苹果第三代智能手表Apple Watch Series 3最大的变化是支持移动蜂窝网络，支持GPS定位，并且可以独立打接电话。,1
很喜欢 还在研究中 质量还不错,2
高大上，用了半感觉还行，续使用看再说情况。送的表带也不。,1
不，色酷酷的，是我喜欢的子女带38的正好，待时间一天半左右，只是现在蜂窝功能还不能用，移动合约还没签来多花了百，只是按钮是红的,2
京东自营，送货快速，智能表功能丰富，相当开车时可以直接接听电话，短信，操作方便,1
很不错，功能都很赞，期待蜂窝网络能使的那天,2
超级棒，比之前的moto360优秀用的不是一点半点,2
还不错?比官网优惠多多，用了211的券很实惠，蜂窝功能暂时无法使用，看以后吧！,2
东物服务是一流喜欢。,2
很不错 信懒京东 发货快 快递小哥点个赞质量不错 京东还要继续加油,2
非常期待的一款手表，表盘表带可以随意更换非常合我胃口，手表外形的整体设计很时尚，唯一有点小遗憾就是pay不能使用,1
帮同事买的，上午下单下午送到，速度快，手表也很好，同事非常满意！,2
手表其实拿到后发现用不了，然后又去买了个苹果手机，总体用起来还不错，很方便，网络还不能用。,2
特别喜欢 就是贴上膜居然有白边 失败,2
表帅呆了 颜值爆表 至于其他 一般般吧 第一次充电用了四天半 还剩20%的点。续航还能接受吧，当然我设置的抬腕显示。表盘常量的话估计得一天一充了。表盘挺大的正装不合适。,1
果然刻意去抢怎么都抢不到?随便一刷居然能买到 使用功能正在开发中 感觉还不错 可惜的是联通esim试用取消了 只有接着等消息了,2
到齐了，很满意的购物相信东,2
手表拿到手第一眼已经被惊艳到了，外观已经与传统腕表相差无几了，虽然现在的智能穿戴产品还有很多不完善的地方，比如续航、比较依赖手机等，但是这款产品现在已经代表了业界的最高水平了，个人认为这款手表是截止到今年上半年最好的智能手表，没有之一，个人观点，勿喷！,0
series 3手表基本可以，但是手机必须要升级IOS11系统，特别吐槽，且蜂窝网络也不能用。,1
买回来非常喜欢，戴在手上很舒服，操作起来也很简单方便，非常满意的一次购物,2
还不错，就是可惜没有三星pay。,2
非常比较满意、很喜欢,2
还不错，功能太少,2
一波三折，这个表收到的两个，表带都有问题，14号拍的，到今天才完全处理完，正好两周，中间经历了收货换货收货退货，优秀在京东售后服务好，十九大期间这种速度已经不错了。,2
手表质感很好，爱死了，就是还玩不太明白！用用就好啦！苹果的东西就是世界第一，棒极了！物流也很快啊得表扬一下，早晨下单下午就到了,2
#羲和日报#联通3月7日在上海、天津、广州、深圳、郑州和长沙6城市率先启动Apple Watch Series 3的eSIM业务。eSIM卡又称嵌入式SIM卡，就是将传统SIM卡直接嵌入到设备芯片上，用户无需像现在一样插入物理SIM卡。看来不久之后就要和sim卡说再见了 (图文来自中国青年报)@中国青年报​,2
这个表和星s8，一起用起来是绝配，嗯，两个都是三星的产品用起来很好用，然只要有手表的，你解锁，都不用，指纹或者虹膜，反正这个表的话啦一直在带，很好用也防,2
宝贝收到了，一直都想买，这次终于买了，其实多种表盘可以换很满意，表带一收到就换成送的皮带了，除了苹果软件少点其他都很满意！,2
算是个简单的开箱图吧，手表感觉比较精致，外观好像跟二代没多大区别，下单时3188，收货当天降到2988，给客服打电话，很快就退了差价，这里给京东售后点赞！东西没什么好说的，我不喜欢苹果产品，但有人喜欢，没办法，三星给京东配送和售后，两星给手表，满五星！,2
质量还是不错的，不过感觉没什么用，,2
物流速递给力，产品还在研究量还考,2
【Apple Watch Series 3现已支持追踪滑雪和单板运动】苹果今天通过 Newsroom 宣布AppleWatchSeries已经可以支持对滑雪和单板滑雪的运动追踪，苹果还推荐了几款支持这一功能的 App，包括 snoww、Slopes、Squaw Alpine、Snocru 和 Ski。苹果这个功能出现的也太晚了，冬天马上就要结束了，不过有钱人去哪滑雪都可以。,1
宝贝挺不错的。就是老是处于缺货状态。这个要改善一下,2
感觉不错，值得购买，希望京东越做越好,2
嗯这个表给老公买的很满意，质量不错，用一段再看，京东，务很好，五星评,2
外观漂有点亮优雅，功能强大，很喜欢,2
质量没有问题，是真货。我很满意。,2
产品不错，其实苹果的产品还是值得信耐的,2
不错，第一次用智能表挺新鲜,2
手表很有质感。物流速度很给力,2
看上去不错，用了看看，细节有待提高,2
商品错 刚上手 物给力 下次还&hellip;&hellp;,2
苹果三代手表，谁用谁知道，感受不错，无息体验更棒！,2
颜值高，灵敏度高，续航时间一般，可能可安装的应用减少,1
"不错,目前感觉性能最强大的一款手表了,续航也挺给力",2
宝贝不错，昨天刚收就迫不及待打开了，第一眼完全高大上，而且很搭，与么款式的衣服都可以，而且表大小很合男士们佩戴，功还在开发中，没研究完，后续补上，暂时觉得完全可以满足我的小私心,1
不错不错 挺满意的。电子产品还是更信赖京东自营,2
东西太好，别喜欢！,2
很不错的智能手表，真的不过还是续航跟不太上，建议常开省电模式,2
不错，外观很满意，就是软件比较少，希望能多多改进吧,2
虽然现在大运营商停止了通一号多端的过esim 大势所，自己不想买个普通以后后悔哈。,0
好漂亮，功能好棒，使用时间2天不用充电，满意。,2
非常好，够用，质量还可以错，挺好的，速度快非常好，够用，质量不错，挺好的，速度快非常好，够用，质量不错，挺好的，速度快非常好，够用，质量不错，挺好的，速度快,2
手表很不错，外观也很好看。就是手腕较小，表盘比想象的大,2
蜂窝网络目前用不了，否则运动时会很方便。和非蜂窝版的区别：内存16Gvs.8G，表背陶瓷vs.复合（见图），再加上表冠上有些突兀的红点（感觉还是灰色更有一体性的美感）。运动和深呼吸提示都是极好的。表带质量老实说一般，没戴几天面上的膜就破开了，差评。,0
货很，后绝对亮眼，很满盘，炫没朋友小也合适，表带也以随心dy，十分满意,2
长草非常很久，终于趁双十一下手，优惠加券入手估计再难有这种优惠了。各种功能达到预期，非常满意。当然只是这么小屏幕的智能手表一块，期待也不能太高。电量终究是个问题，省着点用两天，运动多或者提醒多也就一天，这还是新表。当跑表估计有点难撑的住，简单锻炼应该没问题。总体很满意。,2
不错，手机可以同时连接手表和蓝牙，但蓝牙不听电话，不过可以听歌,1
开非常心很喜欢,2
漂亮 帅气 穿正装休闲都可以带 续航也不,1
虽然没啥大用，但是挺特别喜欢的。,2
退了官网的，买了京东的，自己配了皮表带，很喜欢。自带的表带也很漂亮哦。,2
试用中，希望待机时间长一些！外观真心不错，只是应用程序真心太少&hellip;&hellip;希望能跟进！！！,2
不咋地 贴上后整体衔接效果不好 相当黑色四边也占位挡住屏幕,0
非常给力哦 特别喜欢这款手表 不是当地仓发货还能24小时内到 真是不可思议,2
不错不错，还是京东靠谱啊，晚上买的一大早就到手了！关键是能分12期，太力了！,2
东西不错，值这个价钱，只是微信助手用不了,2
健康功能很实用。表盘个性，多样。值得购买。,2
虽然有点贵，但是比较喜欢。货到了才发现有点鸡肋，好好的帝陀不戴，买了块电其实子表戴。,2
东西不错 可能挺好的,2
这货一直缺货，费了好大劲才抢到，现在感觉很不错，16G内存，,2
非常不错比较实用。,2
第话，网购电子产品，管小电子还是家用电器，还是推荐来京购买，当然这仅仅人点。反正iwatch我实双十一在某Ba消的订单，然后来东下的订单。第二句话，表拿到手上没问题，物流也真是快，双一下单，二天就。三句本身品看个人，有用着不错的，也有觉得没什么用的所以还是看个人。我也才用了一天，以也无法评价怎么样，是我是半个果粉，mac，ihone，ipad用，所以才买的iwatch。,2
很喜欢，京东还是很好,2
很好用值得推荐，用方便！,2
用着不错，跟三星手机连接功能挺多的，就是不知道为什么支付用不了,2
看中不其实带手机也可以用的三代，就等功能开放了，,1
一直在等不锈钢的，可惜一直等不特别到货，闪购时候买的，颜色很喜欢,2
快递竟然相当不用本人签收，打了个电话放门岗就走了。手表用了几天感觉不错，很多功能还不会用，慢慢研究，电池续航不开GPS也只能用两天多。,2
双11败的，非常好，除了蜂窝还没开通，其他都很好啊。,2
不错，值得荐购买,2
太棒了，好舒适，双12 2888减150原本没货的，忽然发现一件,2
送给老婆的礼物，她很喜欢，必须赞一下京东快递的速度，早上下单下午就到了，厉害?！！！,2
双十二那天买的价格很优惠。送给老公做礼物他很喜欢。晚上睡觉的戴着，天天听米老鼠报时。现在就等着晚上打球了。,2
手表错?物也挺。就是现在还不能使用蜂窝数据是硬伤，希望能尽快支持。42mm对男人来说正好。续航的话目不开蜂窝数能2天，充电的话和Pone充时间差多。数码品是个消耗品必太在意老化,0
不错京东就是快,2
不错，用的还挺好的，值得推荐,2
还是喜欢自带的表盘风格。,2
很好。送人是没拆。,2
感觉不错，方便。,2
苹果今天带来了 watchOS 4.1 和 tvOS 11.1 第三个开发者测试版。距离 watchOS 4.1 与第二个开发者测试版相隔一周的时间，tvOS 11.1 与第二个测试版相隔一周半的时间。watchOS 4.1 为 LTE 版Apple Watch Series 3加入了AppleMusic 内容播放支持，并且提供了全新 Radio 应用，可以收听 Beats 1 以及其他AppleMusic 广播。同时，可能watchOS 4.1 中还加入了对全新 Unicode 10 Emoji 的支持。tvOS 11.1 主要是 Bug 修复和性能改进，并没有带来设计的变化和新功能。http://t.cn/ROmO9PY,1
不是香槟金是玫瑰金，很早就想买这款表了，有些分量，也确实不错，逼格很高，再换个表带就行了。,2
用了几天了才来评价，电池续真的航能力不怎么样，没怎么玩两天差不多就没电了。不过无线充电还是挺方便的。,0
不错，相对于iWatch，待机时间够长，晚上能测睡眠质量!,2
超级喜欢 期待开启蜂窝数据功能 很好用,2
好吧，用着还不错，轻度使用三天多的待机。暂时还没有发现掉漆现象,2
东西不错，很稍微好用，很好看，很喜欢,2
下午就到货，超级喜欢，好看啊,2
昨天拿到就用上挺了，不错，对于喜欢运动的朋友很有帮助。,2
apple watch 3与2相比，增加了接打电话功能，但现在还没法用。可以独立使用watch存储音乐。此外，宣传中号称的处理能力和速度提高了多少等等，基本感觉不出来。外形据说稍厚点，但基本感觉不出来。待机时间有所增加，并不明显。apple watch主要还是用来作为来电/微信/短信提醒，健身计步，简单app应用。开启户外跑步的话，大概待机时间6个小时左右，应付全马尚可，但长距离越野显然不够用。,1
东西不值得购买,2
京东服务给个赞，不但从外地调了赠品补了，还补了差价。手表跟预想的一样，感觉男人戴这个比苹果大气，有男人味，苹果的太女人味了，软件也足够使用了。自己配了两个金属表带，都试了，感觉还是赠送的皮质戴着最舒服。,0
当手表有了手机的功能！会发生什么事！你会放弃手机只带一个手表吗？毕竟手机比手表大很多的说！Apple Watch Series 3可开通独立蜂窝移动通信功能啦！目前只有联通可以受理哦！ ​​​​3月7日，郑州首发！敬请期待！ ​,1
带了两天，男朋友送的生日礼物，嘿嘿。真的感觉不错。京东商城值得信赖。,2
本人手腕15 果断买38 带上效果很优秀 希望给手腕细的同学一个参照。这必须要吐槽下京东 完全逗我们呢，首发三台？开玩笑呢嘛。开封后手表膜有点脏，应该不是后封机吧。其他都还好，满意。,2
很炫酷，现在还在学习使用中，快递很给力,2
不错，很棒，速度相比一代明显提升，很喜欢！,2
买之前一直纠结尺寸问题，胳膊太细，怕42mm的不合适，直营店懒得去了，感觉38的挺合适的，续航比预期的好点，最长一次用了将近三天，基本上用来看看时间，综合使用估计也就是一天吧，毕竟后期开通esim后，耗电量肯定会增加，整体感觉不错? 另外有一点，这个颜色和现实的图片不一样，表带是偏银色的,2
京东就是靠谱.物流给力.手表质量没的说.很好用.希望还是早一点开通蜂窝网络.,2
男朋友很喜欢，前几天都在发掘新功能,2
整体来说，超出预期，不过电子产品更新换代速度很快相当。并不像机械表可以带很多年。看下一代吧。,1
还可以，就是暂时不知道关闭动作感应怎么关闭,1
入了一个Apple Watch Series 3灰色玩一个月出二手有兴趣的可以预定，42的。价格到时候早说。 ​,1
目前还没发挥它的重大作用，其他体验个人觉得还不错，不会错过电话信息之类的了,2
妈妈送的生日礼物，好好看啊，满满少女心，终于等到了，每次价格优惠的时候都没有货，这次终于赶上活动还有货，太开心了，替妈妈省钱了，京东配送快，还送了贴膜，还没用，生日当天戴起来，超满意,2
来运动带，还是不错的,2
想不到买什么给女友，就买了这个。目前使用起来还不错，但缺了esim 还是感觉经常慢一拍，期待早日开通,2
喜欢苹果，运动神器，京东给力，38佩戴大小还好，不突兀，42感觉大了！,2
表不错，很多功能，三星东西确实不愧是国际大肠,2
宝贝真心不错，超爱。。。,2
充电方便，使用方便，非常实用，女朋友特别喜欢，,2
终于等到你，想Aple Watch已很久，这次遇到，活动非常给力，毫不犹下单了中间还有点小折，一开始优惠使用有点问题不过客服耐的给我解决了手动点。,2
产品不错，苹果的产品还是值得信耐的,2
质感一流！用来监督自己健身很不错！,2
不错，可以，非常好的产品，非常喜欢，歪理顾得,2
发货速度很快，第一次用京东还是很满意。,2
666很喜欢，很好用,2
第一次用智能手表，很多地方不懂，慢慢摸索吧！挺好玩的，现在手机里所有通知都推送到手表上面了，真的方便。就是举着手表听电话在别人看来有点傻，而且只有扬声器。。总的来说还是很不错的，京东的物流就是快，晚上下单，第二天就到了。,2
相当不错，就是我想要的！物流很快当天就拿到了,2
好不容易买到的，刚到货十分钟就卖光了。两天一充，很好看,2
Apple Watch Series 3中国联通 eSIM业务 短信、电话以及绿色应用初步测试如下：1.手表可以接打 这个问题不大 如果出现只能打不能接情况可以多等一下 后台系统可能还没完事 或者联系联通客服解决2.在短信问题上 如果只有手表联网 iPhone关闭蓝牙和Wi-Fi、蜂窝数据 手表不会有任何提醒 也无法发送短信 如果想要接收和发送短信必须iPhone处在开机且联网状态 原理应该是通过iMessage功能实现（但是有点延迟）3.绿色应用在iPhone开机和联网状态下能够收到消息 也能正常回复消息 而在只有手表联网下 手表不会收到消息提醒 只有手动加载消息列表才能看到消息 但好处是能正常回复消息4.手表联网状态下 iPhone也在联网状态下 iPhone上的应用提醒在手表上也能得到提醒总结：开通eSIM业务后能够大胆“独立”使用手表 但这种“独立”建立在 iPhone 开机并且联网（Wi-Fi和数据）,1
手表带了一段时间后才来评价，优点和缺点都很明显，优点是手表很好看，反应速度也很快，待机时间尚可，送的无线充电器也很好用，与手机的互联后功能很多，缺点是离开手机就是一个计步工具和手表，可下载软件太少。,2
比较满意，有点唯一不足就是三星系统的软件太少,2
这款手表关注很久了，一直很想入手，结果那天看到秒杀，立马就入手啦。嘿嘿，很喜欢！简直爱不释手！界面也很不错，总体来说，满分，嘿嘿?，然后给快递员大大的赞！,2
买了一个自己用，朋友见到手表外型一下子就喜欢了，帮朋友下单。朋友用苹果系统的，刚开始不太会用，摸索几天后大赞！,2
总体来说还不错的 就是蜂窝到现在还没开,2
比较了一代和三代，感觉还是三代好，用了这么多天才挺评价，只死机了一次，其他都可以，最大问题就是充电了，基本上每天一冲，其他还可以，颜色也漂亮，京东比实体店要便宜，专门去比较了一下价格是官网价格还没有活动。唯一要吐槽的就是plus会员，领了券24小时内使用，那么小的字根本看不到。不过京东还是很可爱的，值得信赖！,1
#eSIM一卡双终端#Apple Watch Series 3可以独立打电相当话了！开通指南看这里 http://t.cn/Rn2ccYI​,1
怎么说呢，期待已久的，买的时候还是挺高兴的，用着还好吧，挺好的，记录身体心率与运动的数据，现在运动量都增加了，挺优秀，有时候削微有点卡，还能理解吧,2
东西不错，京东送货及时。,2
玩是不错的,2
还可以，东西非常没有问题。,1
“阳光照在万物上”路劲阳光城阳光大行动温暖启幕，以“阳光照在……”为主题，手机或相机拍摄阳光照在人或物或景色上的图片并针对图片内容书写走心文字阐述。特等奖：（1名）香港迪士尼乐园游；二等奖：（3名）Apple Watch Series 3智能手表；三等奖：（10名）ILIFE V5智能扫地机器人。扫码参与。 ​,2
手表很好看，是正品,2
非常好用，颜色也好看，推送很方便，蓝牙距离也够远，复式楼都可以覆盖到。,1
和想象的样好，刚开始用打开那面需要加载几秒，过会变快，手表的衷就是作手的功能，在此基础上的一切创新都可以是让人眼前亮,1
怎么还有一个，很好用。,2
还不错！感觉很好、满满的科技感,2
东西收到，非常喜欢，老看也想要所以又一个，另外双十一京东物流太给力了，比预计间提前到了两天,2
这个颜色我怎么看都不像金色，更像玫瑰金，买了根金色表带颜色竟然不一致！习惯了机械表戴这个很奇怪，好厚一个表盘。功能还在探索中，给自己运动找个动力买的，提醒功能不错！另外，京东配送超快的！,2
手表终于到了，期待移动支持蜂窝数据的那一天，这样就可以甩开手机了，喂～～～～,1
表盘多。漂亮 正常使用可以用2天以上，比苹果的续航好，但是软件就没有苹果那么多了，不过也够用，有一个问题 百度地图可以定位 不能导航、一直显示请到开阔地区，希望可以改进。,1
不愧是三星的产品，外观做工没话说，按键和旋转外圈手感很好。说说不足的吧，我是用iphone配对，微信不能看内容，支付bao不支持，然后必须吐槽的是装软件非常慢，而且经常装一半停住。太**了。,2
还可以吧。可的,1
目还能打电话有点小失望,0
不错就点 天一充 连接我手机后就繁体字了,2
用了三天，感觉错，送货第二天就到了，跟锻炼两天。电量基本可以用两。是没有优惠啊。,1
手表不错，用着很方便，自从用了这款手表，就没落过接电话，物流也很给力的！超快！满意！,2
老板推荐的表 送给老爸 看中的是监测心率功能 老爸说挺好用 洋气,2
还是很好好好好好,2
戴了三天 很喜欢 等了很久了 同事都说实物比照片好看 哈哈 双十一要是减价还想买,2
特意用了一段时间才来评价的，外观很有质感，电池非常满意，三天稳稳的，常用功能都是开着的。软件确实有些少，慢慢等待更新。,2
还要说什么呢 非常不错的,2
苹果的东西没的说，不过快递包装差评，随便包了一下就送过来了，一点保护措施都没有。其他都还好，上午买的下午就到。,0
用了几天了，还不错 就是导航不能用求解决,2
质量可以，没发现applewatch这么多版本啊，受教受教,1
到货速度很快。怎么老降价呢。提前预定了几天丝毫没有价格优势呢&hellip;&hellip;真是气死了简直。手表还行吧。看后续使用吧,1
京东太实在了，整这么大一个盒子，我还以为发错货了，东西不错，五星好评??,2
于开始使用了，用的还可以,1
手表不错，就是功能还没弄明白，需要慢慢摸索,2
把三星健康装上就可以正常定位了,1
很好的表 但是不能用4g啊啊啊啊啊啊啊啊啊,2
用一时间，功能还是挺齐全，样式也挺满意，目NFC支付还没开通带舒适度不是很好，表带偏硬，摘不是不太便。,2
配送很快 颜色跟预期的不太一样，还行凑合用吧,1
京东的东西很优秀，值得购买。,2
还不错，就是不能输入中文，必须得在手机上切换输入法才可以，很麻烦，其他的用着都还不错，逼格也挺高的。,2
佩戴一周半，安利此物。1. 继AppleWatch后存在感第二弱。2. 一次配对，同 iCloud 账户登陆设备切换特别方便。3. 音响效果对收听Applemusic 及播客而言足够，如果没期待就会有惊喜。4. 一般佩戴不会掉，实测八级大风出门，人已歪斜，耳机还在。5. 接听电话效果好，做饭绝配，另一端基本听不到厨房噪音。6. 支持单只使用，这样在户外更安全，重要是使用时间翻倍,1
非常不错??。特别是游泳的时候，超棒，值得拥有。,2
